fecha,C1,C2,C3,C4,DC,SIGNOnumerico
2024-01-01,6,4,5,7,42,6
2024-01-02,7,5,6,8,47,7
2024-01-03,5,3,4,6,31,4
2024-01-04,8,6,7,9,58,8
2024-01-05,7,5,6,8,51,7
2024-01-06,4,2,3,5,24,3
2024-01-07,9,7,8,10,76,10
2024-01-08,5,3,4,6,36,5
2024-01-09,6,4,5,7,45,6
2024-01-10,7,5,6,8,53,8
2024-01-11,3,1,2,4,18,2
2024-01-12,10,8,9,11,82,11
2024-01-13,5,3,4,6,34,4
2024-01-14,7,5,6,8,48,7
2024-01-15,6,4,5,7,41,6
2024-01-16,8,6,7,9,62,9
2024-01-17,4,2,3,5,27,3
2024-01-18,9,7,8,10,71,10
2024-01-19,5,3,4,6,39,5
2024-01-20,6,4,5,7,46,6
2024-01-21,7,5,6,8,54,8
2024-01-22,8,6,7,9,65,9
2024-01-23,3,1,2,4,21,2
2024-01-24,10,8,9,11,87,11
2024-01-25,5,3,4,6,38,5
2024-01-26,7,5,6,8,52,7
2024-01-27,6,4,5,7,44,6
2024-01-28,8,6,7,9,69,9
2024-01-29,4,2,3,5,33,4
2024-01-30,9,7,8,10,74,10
