Fecha,DC,EXT,ULT2,PM2,C1C3,C2C4
2023-01-01,10,20,30,40,50,60
2023-01-02,11,21,31,41,51,61
2023-01-03,12,22,32,42,52,62
2023-01-04,13,23,33,43,53,63
2023-01-05,14,24,34,44,54,64
2023-01-06,15,25,35,45,55,65
2023-01-07,16,26,36,46,56,66
2023-01-08,17,27,37,47,57,67
2023-01-09,18,28,38,48,58,68
2023-01-10,19,29,39,49,59,69
2023-01-11,20,30,40,50,60,70
2023-01-12,21,31,41,51,61,71
2023-01-13,22,32,42,52,62,72
2023-01-14,23,33,43,53,63,73
2023-01-15,24,34,44,54,64,74
2023-01-16,25,35,45,55,65,75
2023-01-17,26,36,46,56,66,76
2023-01-18,27,37,47,57,67,77
2023-01-19,28,38,48,58,68,78
2023-01-20,29,39,49,59,69,79
